a	40.080999999999996	38.596	36.952	38.06	38.518	38.236999999999995	40.782	41.512	39.501	40.95	39.569	40.864000000000004	41.975	41.625	40.319	41.42	41.54600000000001	41.527	39.510999999999996	38.827	38.798	37.692	38.025	39.031	38.699	39.684	37.995	36.647	35.671	35.378	35.681	33.757	33.97	35.264	35.588	36.764	37.529	36.03	39.223	39.607	40.419000000000004	39.291	41.506	38.317	36.463	36.856	36.54	34.713	37.365	37.916	37.464	38.604	38.829	38.687	40.095	41.317	40.321	40.724000000000004	43.75899999999999	44.756	45.052	44.263000000000005	45.485	43.121	44.933	46.236999999999995	46.385	46.523	47.551	47.048	47.048	46.543	44.893	46.05	46.68899999999999	45.251999999999995	45.57899999999999	42.965	43.896	44.896	44.035	42.795	45.857	44.996	45.282	47.668	47.996	48.085	48.571999999999996	50.022	51.006	51.691	51.085	52.953	52.883	52.397	52.327	53.044	55.563	56.629	55.533	59.048	60.144	59.028	59.536	58.681000000000004	59.739	61.086000000000006	59.599	60.248000000000005	59.21	61.615	63.361000000000004	65.008	65.82600000000001	64.59899999999999	65.15	66.62	66.88	67.97	68.22
aa	34.453	33.671	32.6	35.02	36.176	33.731	34.451	32.616	29.449	28.974	28.101	29.15	29.171999999999997	29.605	29.283	30.215999999999998	29.302	27.964000000000002	27.331999999999997	26.369	25.715	24.379	23.158	22.939	21.033	21.274	20.859	19.805999999999997	20.64	21.318	21.628	20.134	20.881	22.11	20.64	19.718	20.243	17.581	19.958	20.573	20.177	20.31	22.29	18.197	15.183	15.71	16.685	16.199	19.69	20.132	20.816999999999997	21.965999999999998	21.436999999999998	20.795	21.636999999999997	23.028000000000002	24.686	20.965999999999998	20.612	21.276	21.1	20.656999999999996	21.851999999999997	20.168	21.764	24.201999999999998	23.648000000000003	23.14	23.162	22.828000000000003	22.805999999999997	22.694000000000003	21.05	21.694000000000003	22.494	20.68	20.035	20.91	25.11	29.62	31.34	28.88	32.05	29.29	29.43	30.68	32.64	36.53	37.68	38.3	36.71	37.99	35.36	34.97	32.47	34.23	32.05	31.7	33.28	30.82	31.63	33.09	33.32	32.48	29.69	33.18	34.14	36.43	36.63	37.09	37.78	38.47	43.0	44.73	44.65	45.29	48.31	46.94	46.54	47.91	47.29
aaba	50.53	48.59	46.23	49.44	44.7	42.96	44.11	44.11	42.67	44.67	44.47	43.67	45.53	43.97	42.56	44.09	44.36	43.38	42.88	40.53	40.73	39.29	37.61	39.68	37.83	37.12	34.49	34.1	33.14	30.9	31.4	29.34	30.71	32.86	32.83	35.19	35.12	32.19	33.36	35.65	34.63	32.95	34.04	30.16	29.14	29.98	27.68	26.76	31.17	32.8	33.51	34.275	35.23	36.41	37.31	37.67	36.6	37.18	37.27	35.59	36.59	36.47	37.4	36.86	37.74	37.95	38.76	38.39	41.27	43.02	42.26	44.35	43.99	42.8	43.13	42.68	42.73	41.87	40.28	39.3	41.01	39.63	41.76	38.42	38.73	41.23	41.99	44.94	43.69	45.03	45.5	46.24	45.94	46.59	46.4	46.23	46.83	47.52	48.61	49.49	49.65	50.6	50.6	52.0	55.09	54.3	54.8	58.47	58.91	58.15	57.92	63.6	63.17	64.02	66.41	64.96	67.81	69.22	67.45	67.52	71.71
aac	29.89	28.64	28.7	28.3	27.46	27.91	30.39	34.27	25.8	29.77	28.08	30.59	31.11	33.25	34.66	31.68	37.65	38.73	41.67	43.17	44.22	43.56	43.61	41.84	39.09	19.89	19.5	21.79	22.49	23.8	23.93	24.68	24.43	26.76	28.03	23.76	24.25	22.68	23.7	23.88	22.96	22.06	18.6	18.2	16.77	19.46	18.27	19.83	22.68	20.34	16.97	17.9	18.43	18.47	19.53	20.11	20.59	21.53	19.72	21.2	21.49	19.96	19.64	22.0	22.65	23.03	22.75	19.96	17.45	17.29	18.77	19.77	17.91	17.04	17.61	17.17	16.91	17.05	7.51	9.28	9.43	8.52	8.4	7.64	7.0	7.54	8.0	8.16	8.03	7.9	8.15	8.91	8.6	8.58	8.43	8.34	8.2	7.39	7.12	7.09	6.87	6.59	6.37	6.55	6.57	7.04	6.61	6.86	6.46	7.29	8.67	8.98	8.98	10.16	11.4	10.13	9.99	7.8	8.24	8.56	11.14
aal	51.376999999999995	51.534	48.032	53.903	46.176	46.357	49.699	47.058	45.528999999999996	52.728	49.931999999999995	46.835	46.192	50.068999999999996	47.126000000000005	47.868	47.82899999999999	41.231	41.161	39.736999999999995	42.001999999999995	38.982	38.721	40.413000000000004	39.179	41.72	41.601000000000006	41.073	37.784	39.918	42.128	39.381	37.794000000000004	42.891999999999996	43.821000000000005	44.868	44.71	42.603	41.473	42.966	43.229	40.288000000000004	42.652	39.66	38.005	38.866	36.777	35.875	40.150999999999996	41.125	40.948	41.391000000000005	40.221	38.274	39.266999999999996	39.336999999999996	34.106	32.479	32.184	31.71	30.378	31.354	29.6	27.311	29.62	35.525	36.038000000000004	33.111	34.574	36.086999999999996	35.771	38.311	36.007	35.157	37.283	37.777	40.251	39.47	39.400999999999996	43.03	45.68600000000001	45.358999999999995	49.216	48.165	47.263000000000005	45.815	46.351000000000006	47.5	43.633	46.155	46.512	46.792	43.055	41.455	41.475	40.64	43.681000000000004	44.864	41.813	46.792	44.74100000000001	47.818000000000005	49.531000000000006	49.242	48.226000000000006	49.412	52.438	52.926	50.79600000000001	50.338	48.244	45.61	44.463	43.733999999999995	45.898999999999994	47.596000000000004	50.4	52.715	51.397	47.456	47.406000000000006
aamc	436.65	335.99	340.87	214.28	240.11	160.0	183.51	195.85	188.3	195.25	226.0	199.0	202.97	239.0	231.95	216.79	216.57	182.6	188.24	168.2	162.89	153.27	146.0	140.75	147.05	139.13	132.57	113.98	60.01	33.4	35.57	26.03	25.06	23.95	29.4	29.8	25.2	33.8	20.75	13.15	16.96	13.01	14.27	20.3	19.92	15.04	17.38	15.25	14.69	17.6	18.01	14.21	13.33	13.64	12.76	20.12	20.4	15.21	12.83	12.51	13.81	19.5	20.66	17.95	13.5	13.71	13.53	15.2699	12.55	13.28	13.62	12.72	13.47	13.71	16.4	16.8	25.0413	33.45	32.85	35.5	36.6	28.2	28.9	37.05	46.85	53.8	55.95	63.8	63.0	62.8	77.75	74.6489	71.1	77.4	74.2	54.45	75.25	69.0	73.0	73.8	72.05	76.15	89.0	92.0	86.0	87.0	88.0	93.0	92.2499	93.0	88.9	74.75	82.6	81.0	108.7	109.35	88.95	82.0	84.05	85.5	88.0
aame	3.9235	3.9235	3.8647	3.8743	3.7273	3.8255	3.7664	3.8255	3.8255	3.8453	3.9733	3.9438	3.9339	3.8453	3.9338	3.9339	3.9438	3.9536	3.9635	3.8847	3.9044	3.9637	3.924	3.924	3.815	3.4781	3.7655	3.6862	3.6168	3.6564	3.597	3.6168	3.6366	3.6664	3.6466	3.6168	3.3493	3.3295	3.4682	3.7259	4.0033	4.2312	4.2114	4.2114	4.6922	4.796	4.8555	4.7366	4.9348	4.697	4.697	4.5284	4.3501	4.2411	4.4491	4.36	3.9537	4.1321	4.2213	4.1619	4.4095	4.6067	4.3878	4.2187	4.0893	3.3983	3.4227	3.6158	3.562	3.9302	3.9401	4.1789	4.2286	4.0794	3.4725	3.6217	3.4824	3.2934	3.2436	3.3133	3.7312	4.2286	3.8804	3.8307	3.7312	3.9799	4.0297	3.957	4.0794	3.9302	3.8555	3.8307	3.6864	3.7809	3.5819	3.9302	3.8804	3.9799	3.9605	3.8	3.7	3.55	3.7	3.8	3.8	3.65	3.7	3.595	3.6	3.6	3.55	3.35	3.4	3.3	3.4	3.3	3.2	3.4	3.25	3.25	3.6
aan	30.709	29.968000000000004	28.916	32.491	31.055999999999997	30.689	30.441	29.453000000000003	27.8	28.009	27.451999999999998	28.019000000000002	28.721	28.979	33.709	34.85	35.861	35.472	34.306	34.196	35.666	35.925	35.376999999999995	36.696999999999996	33.662	37.114000000000004	36.857	38.384	37.580999999999996	39.251	38.676	37.068000000000005	36.353	40.163000000000004	38.208	34.755	25.443	23.795	23.666999999999998	24.217	22.448	21.941	22.756	20.539	22.25	22.865	21.355	21.533	21.910999999999998	23.233	23.916999999999998	23.715999999999998	24.291999999999998	25.247	27.326	26.061999999999998	26.072	25.456	23.686	24.342	24.953000000000003	22.901999999999997	22.146	21.945999999999998	23.201	23.32	23.151	23.72	24.805	25.113000000000003	25.093000000000004	24.84	24.928	25.576999999999998	24.87	22.736	23.484	22.557	25.177	27.88	29.543000000000003	29.275	32.402	33.19	31.924	30.787	31.944000000000003	31.465	30.587	29.978	26.926	27.674	27.374000000000002	30.028000000000002	28.779	29.439	30.717	30.666999999999998	36.688	36.139	35.010999999999996	35.5	38.855	39.485	38.605	39.003	37.684	38.783	39.711999999999996	45.818000000000005	45.159	43.46	44.32899999999999	41.081	42.9	39.42	44.19	42.96	42.48	39.14	35.59
aaoi	10.94	9.85	8.38	9.25	9.02	10.21	10.22	13.27	12.12	13.27	13.32	13.69	13.02	14.6	14.28	15.14	14.8	18.77	17.67	18.43	18.01	17.36	16.19	19.28	18.24	18.73	22.38	20.33	21.11	21.66	19.89	18.64	18.17	18.94	18.24	21.3	17.73	16.6	18.56	18.49	17.17	16.92	18.04	15.29	13.42	15.14	15.42	14.55	16.32	18.33	17.02	17.65	15.2	14.74	16.04	11.01	11.2	10.26	9.23	10.11	10.96	9.95	10.1	10.4	11.29	11.76	12.67	12.27	13.55	13.74	16.85	19.86	21.65	21.14	21.44	22.04	20.295	19.99	21.65	24.6	26.0	23.395	24.74	24.96	24.39	22.41	30.44	31.71	31.31	32.66	37.57	46.85	52.66	50.77	59.88	51.19	40.82	45.54	50.13	62.11	61.38	67.88	72.44	63.85	63.1	60.0	68.64	90.18	98.76	97.99	65.84	60.6	62.69	56.16	58.3	61.11	61.73	61.44	42.17	39.27	37.8
aaon	21.846999999999998	20.613000000000003	20.868000000000002	22.326999999999998	22.808000000000003	22.434	23.258000000000003	22.601	21.348000000000003	22.053	23.043000000000003	23.326	23.69	24.021	23.483	22.298000000000002	23.179000000000002	23.915	23.198	23.622	23.002	22.166	21.89	22.55	21.771	21.476	22.56	21.929000000000002	20.186	19.547	20.266	19.241	19.261	20.768	20.788	20.934	24.015	23.11	24.075	23.825	23.064	22.5	23.250999999999998	20.967	19.604	20.68	20.8	20.226	21.146	25.219	25.061	26.325	26.465	26.612	27.046999999999997	26.691999999999997	26.218000000000004	27.473000000000003	26.929000000000002	27.848000000000003	27.353	26.462	25.836	26.351999999999997	27.215999999999998	27.633000000000003	26.392	26.104	27.364	27.454	27.761	28.595	27.345	28.198	28.953000000000003	29.28	28.635	29.28	27.345	32.804	32.804	32.584	32.933	32.634	33.281	32.584	32.285	34.527	33.381	34.228	34.527	35.175	34.826	36.869	34.926	34.626999999999995	34.178000000000004	36.071	37.317	36.819	35.324	36.321	36.769	37.95	36.15	36.4	37.25	37.15	34.4	33.7	33.1	31.7	32.0	31.85	32.95	33.4	35.45	34.25	34.2	34.8	34.65
